6.657,6.096,0.561,1.308,0.718,1.731,0.000,14.772,10.289
0.904,0.824,0.080,0.345,0.121,0.657,0.000,3.241,2.225
0.015,0.011,0.004,0.007,0.003,0.220,0.000,0.315,0.195
0.908,0.828,0.080,0.349,0.121,0.648,0.000,3.350,2.316
0.938,0.857,0.081,0.344,0.120,0.648,0.000,3.320,2.286
0.958,0.873,0.085,0.368,0.128,0.674,0.000,3.341,2.281
0.911,0.831,0.080,0.333,0.121,0.646,0.000,3.223,2.208
6.699,6.134,0.565,1.326,0.758,1.666,0.000,14.790,10.308
6.687,6.121,0.566,1.299,0.717,1.640,0.000,14.673,10.219
0.968,0.884,0.084,0.361,0.127,0.714,0.000,3.487,2.393
0.904,0.824,0.080,0.341,0.137,0.649,0.000,3.322,2.312
0.910,0.829,0.081,0.333,0.123,0.648,0.001,3.235,2.206
0.913,0.830,0.083,0.338,0.121,0.655,0.000,3.243,2.226
0.913,0.833,0.080,0.397,0.120,0.647,0.001,3.288,2.205
0.908,0.828,0.080,0.355,0.121,0.650,0.000,3.251,2.220
0.905,0.825,0.080,0.357,0.120,0.657,0.000,3.264,2.237
0.935,0.853,0.082,0.316,0.120,0.648,0.000,3.292,2.262
0.913,0.832,0.081,0.306,0.121,0.648,0.000,3.204,2.182
0.912,0.831,0.081,0.351,0.123,0.657,0.000,3.256,2.231
0.912,0.831,0.081,0.339,0.121,0.653,0.000,3.233,2.213
0.952,0.872,0.080,0.315,0.121,0.647,0.001,3.280,2.254
0.946,0.865,0.081,0.339,0.120,0.651,0.000,3.311,2.267
0.913,0.833,0.080,0.338,0.121,0.648,0.000,3.233,2.195
0.904,0.823,0.081,0.346,0.119,0.658,0.001,3.241,2.220
0.143,0.127,0.016,0.068,0.024,0.311,0.000,0.942,0.570
0.143,0.127,0.016,0.070,0.024,0.308,0.000,0.940,0.587
0.143,0.127,0.016,0.067,0.025,0.302,0.000,0.930,0.561
0.142,0.126,0.016,0.064,0.024,0.305,0.001,0.935,0.537
0.151,0.135,0.016,0.070,0.026,0.320,0.000,1.000,0.592
0.152,0.135,0.017,0.069,0.025,0.323,0.000,0.986,0.602
0.143,0.128,0.015,0.066,0.024,0.304,0.001,0.928,0.573
0.142,0.126,0.016,0.065,0.024,0.303,0.000,0.928,0.568
0.159,0.143,0.016,0.081,0.026,0.342,0.000,1.033,0.630
0.145,0.130,0.015,0.069,0.024,0.304,0.000,0.938,0.574
0.143,0.127,0.016,0.069,0.024,0.304,0.000,0.935,0.578
0.906,0.825,0.081,0.338,0.120,0.648,0.000,3.217,2.192
0.144,0.128,0.016,0.064,0.024,0.303,0.000,0.924,0.566
0.037,0.029,0.008,0.018,0.007,0.301,0.001,0.504,0.326
0.038,0.030,0.008,0.018,0.007,0.302,0.001,0.508,0.334
0.037,0.030,0.007,0.019,0.006,0.303,0.001,0.508,0.345
0.038,0.030,0.008,0.019,0.006,0.302,0.000,0.506,0.327
0.036,0.029,0.007,0.018,0.006,0.303,0.000,0.505,0.326
0.037,0.030,0.007,0.017,0.007,0.302,0.000,0.504,0.333
0.038,0.030,0.008,0.017,0.007,0.304,0.000,0.510,0.331
0.038,0.030,0.008,0.017,0.007,0.304,0.000,0.511,0.331
0.039,0.032,0.007,0.017,0.007,0.302,0.001,0.509,0.336
0.027,0.021,0.006,0.014,0.007,0.430,0.001,0.603,0.362
0.015,0.011,0.004,0.007,0.003,0.220,0.000,0.317,0.197
0.013,0.010,0.003,0.007,0.003,0.219,0.000,0.312,0.191
0.016,0.011,0.005,0.007,0.003,0.223,0.000,0.319,0.197
0.015,0.010,0.005,0.007,0.003,0.220,0.000,0.315,0.203
0.014,0.011,0.003,0.007,0.004,0.219,0.000,0.317,0.199
0.016,0.012,0.004,0.007,0.004,0.238,0.001,0.339,0.206
0.014,0.011,0.003,0.007,0.004,0.220,0.000,0.316,0.194
0.013,0.010,0.003,0.007,0.003,0.219,0.000,0.310,0.192
0.014,0.011,0.003,0.007,0.003,0.246,0.000,0.339,0.220
0.015,0.011,0.004,0.006,0.004,0.221,0.001,0.316,0.197
0.015,0.011,0.004,0.007,0.003,0.220,0.000,0.315,0.194
0.014,0.011,0.003,0.006,0.004,0.220,0.000,0.312,0.200
0.014,0.011,0.003,0.007,0.004,0.231,0.001,0.328,0.198
0.031,0.028,0.003,0.007,0.004,0.231,0.001,0.360,0.218
0.015,0.011,0.004,0.006,0.004,0.221,0.000,0.317,0.193
0.015,0.011,0.004,0.009,0.003,0.220,0.000,0.322,0.200
0.014,0.010,0.004,0.007,0.004,0.220,0.000,0.314,0.190
0.028,0.021,0.007,0.013,0.007,0.429,0.001,0.602,0.364
0.014,0.011,0.003,0.007,0.004,0.220,0.000,0.315,0.195
0.014,0.011,0.003,0.006,0.004,0.219,0.000,0.313,0.199
0.014,0.010,0.004,0.006,0.004,0.219,0.000,0.313,0.195
0.014,0.011,0.003,0.008,0.004,0.219,0.000,0.316,0.188
0.015,0.011,0.004,0.007,0.004,0.233,0.000,0.341,0.201
0.016,0.012,0.004,0.007,0.004,0.234,0.000,0.355,0.203
2.903,1.110,1.793,1.209,0.980,1.782,0.001,11.492,9.037
2.832,1.067,1.765,1.319,0.959,1.625,0.000,11.104,8.784
2.952,1.177,1.775,1.397,0.960,1.627,0.000,11.306,8.838
2.844,1.076,1.768,1.267,0.962,1.626,0.000,11.095,8.779
2.836,1.067,1.769,1.303,0.958,1.631,0.000,11.232,8.909
2.823,1.067,1.756,1.287,0.959,1.667,0.001,11.139,8.806
2.839,1.073,1.766,1.326,0.960,1.625,0.001,11.234,8.911
2.836,1.075,1.761,1.399,0.998,1.635,0.000,11.235,8.887
2.835,1.073,1.762,1.385,0.959,1.670,0.000,11.209,8.876
2.841,1.073,1.768,1.348,0.959,1.631,0.000,11.241,8.906
2.915,1.080,1.835,1.289,0.964,1.739,0.001,11.375,9.024
2.838,1.075,1.763,1.335,0.960,1.671,0.001,11.167,8.860
2.841,1.073,1.768,1.283,0.957,1.683,0.000,11.135,8.802
2.887,1.104,1.783,1.349,0.984,1.626,0.000,11.433,9.005
6.860,6.289,0.571,1.355,0.964,1.670,0.000,15.201,10.731
2.872,1.076,1.796,1.412,0.953,1.619,0.000,11.213,8.802
2.867,1.103,1.764,1.356,0.956,1.621,0.000,11.163,8.757
2.839,1.089,1.750,1.432,0.983,1.619,0.000,11.224,8.806
2.854,1.096,1.758,1.415,0.969,1.620,0.000,11.280,8.819
2.824,1.065,1.759,1.354,0.953,1.620,0.001,11.153,8.776
0.492,0.183,0.309,0.345,0.128,0.653,0.001,2.836,2.018
0.494,0.187,0.307,0.340,0.128,0.651,0.001,2.860,2.055
0.490,0.184,0.306,0.342,0.127,0.651,0.000,2.830,2.034
0.491,0.185,0.306,0.346,0.127,0.651,0.000,2.831,2.034
0.490,0.188,0.302,0.340,0.127,0.652,0.000,2.828,2.026
0.119,0.044,0.075,0.067,0.020,0.305,0.000,0.907,0.527
0.118,0.044,0.074,0.067,0.021,0.306,0.000,0.906,0.553
0.121,0.044,0.077,0.065,0.021,0.303,0.001,0.905,0.535
0.121,0.045,0.076,0.068,0.021,0.306,0.000,0.908,0.566
0.119,0.043,0.076,0.066,0.021,0.304,0.000,0.906,0.579
0.119,0.043,0.076,0.065,0.021,0.303,0.000,0.900,0.528
0.118,0.043,0.075,0.066,0.021,0.304,0.000,0.903,0.550
0.053,0.015,0.038,0.017,0.014,0.324,0.000,0.563,0.379
0.054,0.017,0.037,0.018,0.016,0.323,0.000,0.554,0.375
0.053,0.014,0.039,0.018,0.013,0.324,0.000,0.555,0.366
0.052,0.016,0.036,0.018,0.013,0.327,0.000,0.554,0.385
0.055,0.016,0.039,0.018,0.014,0.331,0.001,0.567,0.375
0.053,0.016,0.037,0.017,0.013,0.331,0.001,0.561,0.376
0.054,0.017,0.037,0.017,0.013,0.324,0.000,0.571,0.388
0.053,0.017,0.036,0.018,0.013,0.331,0.000,0.582,0.392
0.052,0.017,0.035,0.018,0.013,0.323,0.001,0.554,0.367
0.053,0.018,0.035,0.018,0.013,0.332,0.001,0.563,0.378
0.053,0.017,0.036,0.017,0.014,0.331,0.000,0.561,0.370
0.028,0.007,0.021,0.006,0.003,0.169,0.000,0.278,0.147
0.028,0.007,0.021,0.005,0.004,0.161,0.000,0.269,0.140
0.027,0.007,0.020,0.006,0.003,0.171,0.000,0.279,0.138
0.026,0.006,0.020,0.006,0.003,0.169,0.000,0.291,0.165
0.029,0.006,0.023,0.005,0.004,0.171,0.000,0.284,0.152
0.027,0.008,0.019,0.006,0.003,0.169,0.001,0.277,0.147
0.016,0.011,0.005,0.006,0.007,0.213,0.000,0.320,0.199
0.013,0.010,0.003,0.007,0.006,0.215,0.001,0.316,0.193
0.014,0.011,0.003,0.006,0.007,0.215,0.000,0.313,0.194
0.014,0.011,0.003,0.006,0.006,0.216,0.000,0.313,0.200
0.015,0.011,0.004,0.005,0.006,0.217,0.001,0.315,0.192
0.014,0.010,0.004,0.006,0.006,0.216,0.000,0.312,0.196
0.015,0.011,0.004,0.006,0.007,0.216,0.000,0.317,0.196
0.014,0.010,0.004,0.006,0.006,0.215,0.000,0.314,0.196
0.038,0.030,0.008,0.017,0.013,0.318,0.001,0.533,0.353
0.113,0.090,0.023,0.049,0.039,0.985,0.001,1.605,1.068
0.014,0.010,0.004,0.006,0.007,0.216,0.000,0.315,0.193
0.014,0.010,0.004,0.007,0.006,0.216,0.000,0.314,0.198
0.014,0.010,0.004,0.006,0.007,0.214,0.001,0.312,0.192
0.015,0.011,0.004,0.006,0.006,0.212,0.000,0.312,0.192
0.014,0.011,0.003,0.007,0.006,0.217,0.000,0.317,0.198
0.014,0.011,0.003,0.006,0.006,0.212,0.000,0.317,0.185
0.014,0.010,0.004,0.006,0.007,0.216,0.000,0.329,0.208
0.015,0.010,0.005,0.006,0.006,0.217,0.000,0.317,0.199
0.014,0.010,0.004,0.007,0.006,0.216,0.000,0.314,0.195
0.039,0.030,0.009,0.017,0.013,0.327,0.000,0.540,0.357
0.039,0.030,0.009,0.017,0.013,0.341,0.000,0.555,0.383
0.040,0.031,0.009,0.017,0.014,0.329,0.000,0.546,0.367
0.014,0.010,0.004,0.005,0.007,0.215,0.000,0.313,0.190
0.151,0.134,0.017,0.065,0.021,0.315,0.000,0.952,0.571
6.820,6.249,0.571,1.329,0.963,1.667,0.000,15.130,10.662
6.881,6.313,0.568,1.299,0.969,1.647,0.000,15.278,10.777
6.858,6.262,0.596,1.412,0.966,1.649,0.001,15.249,10.757
1.052,487.200,0.002,498.119,491.646
1.035,474.080,0.001,485.027,478.532
0.186,78.702,0.001,84.146,82.824
0.176,78.762,0.000,84.193,82.894
0.177,78.830,0.000,84.268,82.966
0.201,79.085,0.000,84.553,83.214
0.181,78.624,0.000,84.079,82.770
0.168,78.798,0.000,84.246,82.914
0.174,78.772,0.000,84.207,82.905
0.147,19.115,0.000,20.820,20.279
0.140,19.115,0.001,20.818,20.280
0.148,19.106,0.001,20.811,20.276
0.142,19.227,0.001,20.920,20.396
0.139,19.400,0.000,21.088,20.558
0.135,19.141,0.000,20.832,20.305
0.143,19.089,0.000,20.782,20.244
0.178,80.505,0.000,85.981,84.629
0.178,79.279,0.000,84.708,83.388
0.176,78.855,0.000,84.402,83.089
0.182,80.911,0.000,86.451,85.128
0.178,79.322,0.000,84.759,83.451
0.014,0.011,0.003,0.008,0.004,0.024,0.000,0.120,0.076
0.014,0.010,0.004,0.008,0.003,0.025,0.000,0.119,0.079
0.015,0.010,0.005,0.008,0.003,0.025,0.000,0.123,0.076
0.015,0.011,0.004,0.009,0.003,0.026,0.000,0.126,0.078
0.037,0.033,0.004,0.008,0.004,0.026,0.000,0.156,0.108
0.014,0.011,0.003,0.007,0.003,0.025,0.000,0.117,0.074
0.015,0.012,0.003,0.007,0.004,0.026,0.000,0.126,0.077
6.696,6.133,0.563,1.883,0.719,0.183,0.000,13.835,9.826
7.000,6.411,0.589,1.953,0.716,1.700,0.000,15.785,10.974
7.196,6.569,0.627,1.396,0.756,1.758,0.001,15.663,10.869
7.218,6.653,0.565,1.827,0.829,1.724,0.000,16.240,11.539
6.843,6.253,0.590,1.774,0.719,1.759,0.001,15.553,10.952
6.978,6.359,0.619,2.427,0.752,1.741,0.000,16.327,11.498
7.380,6.819,0.561,1.671,0.715,1.633,0.000,15.733,10.619
6.874,6.307,0.567,1.773,0.712,1.713,0.000,15.511,10.901
6.669,6.105,0.564,1.720,0.716,1.661,0.001,15.131,10.636
6.968,6.361,0.607,1.795,0.774,1.804,0.000,15.894,11.174
6.978,6.377,0.601,1.694,0.765,1.691,0.001,15.711,11.065
6.686,6.122,0.564,1.667,0.715,1.647,0.000,15.263,10.757
6.803,6.204,0.599,1.723,0.718,1.665,0.000,15.406,10.824
6.833,6.241,0.592,1.773,0.716,1.672,0.001,15.418,10.845
6.821,6.255,0.566,1.668,0.744,1.687,0.001,15.266,10.738
6.730,6.165,0.565,1.765,0.734,1.676,0.000,15.384,10.854
6.874,6.304,0.570,1.881,0.749,1.629,0.000,15.642,10.923
7.243,6.678,0.565,1.736,0.715,1.640,0.001,15.683,10.596
6.993,6.427,0.566,1.696,0.719,1.629,0.001,15.513,10.990
0.947,0.862,0.085,0.421,0.126,0.699,0.000,3.431,2.344
0.906,0.825,0.081,0.430,0.131,0.710,0.000,3.401,2.338
0.910,0.828,0.082,0.387,0.122,0.671,0.001,3.380,2.307
0.937,0.857,0.080,0.393,0.146,0.700,0.001,3.445,2.366
0.912,0.831,0.081,0.390,0.121,0.644,0.000,3.272,2.247
7.271,6.668,0.603,1.732,0.983,1.716,0.001,16.213,11.590
6.952,6.380,0.572,1.864,0.982,1.657,0.000,15.915,11.357
6.810,6.240,0.570,1.789,0.967,1.650,0.000,15.629,11.190
7.462,6.853,0.609,1.724,0.987,1.852,0.000,16.659,11.580
0.016,0.012,0.004,0.008,0.006,0.230,0.001,0.338,0.204
0.015,0.012,0.003,0.009,0.007,0.228,0.000,0.345,0.212
0.014,0.011,0.003,0.008,0.007,0.215,0.000,0.313,0.194
0.017,0.011,0.006,0.009,0.006,0.235,0.000,0.345,0.210
0.015,0.011,0.004,0.009,0.007,0.228,0.000,0.336,0.206
7.005,6.432,0.573,1.732,0.987,1.649,0.000,15.888,11.343
7.231,6.610,0.621,1.741,0.969,1.650,0.000,16.084,11.595
6.951,6.382,0.569,1.805,1.012,1.733,0.000,15.840,11.307
7.128,6.554,0.574,1.871,1.012,1.679,0.001,16.201,11.516
0.959,0.877,0.082,0.407,0.128,0.651,0.000,3.423,2.393
1.010,0.920,0.090,0.444,0.138,0.702,0.000,3.526,2.393
0.931,0.848,0.083,0.414,0.127,0.650,0.001,3.385,2.347
0.926,0.844,0.082,0.407,0.131,0.650,0.000,3.341,2.313
0.926,0.843,0.083,0.414,0.127,0.657,0.001,3.418,2.360
0.925,0.842,0.083,0.405,0.127,0.649,0.001,3.325,2.290
0.951,0.864,0.087,0.426,0.135,0.684,0.000,3.478,2.416
0.995,0.900,0.095,0.402,0.127,0.651,0.000,3.518,2.448
0.015,0.011,0.004,0.008,0.004,0.252,0.000,0.349,0.220
0.014,0.011,0.003,0.009,0.004,0.243,0.000,0.341,0.217
0.008,0.005,0.003,0.004,0.001,0.019,0.000,0.055,0.024
0.009,0.005,0.004,0.004,0.001,0.019,0.001,0.058,0.021
0.009,0.006,0.003,0.003,0.012,0.008,0.000,0.068,0.030
0.010,0.006,0.004,0.004,0.011,0.008,0.000,0.058,0.019
0.008,0.005,0.003,0.004,0.001,0.019,0.000,0.056,0.023
0.009,0.005,0.004,0.004,0.001,0.019,0.000,0.056,0.022
0.010,0.006,0.004,0.003,0.001,0.020,0.000,0.058,0.019
0.009,0.006,0.003,0.004,0.002,0.019,0.000,0.058,0.021
0.009,0.006,0.003,0.005,0.001,0.012,0.000,0.053,0.022
0.014,0.011,0.003,0.008,0.004,0.012,0.000,0.119,0.078
0.015,0.011,0.004,0.008,0.003,0.012,0.000,0.107,0.068
0.015,0.011,0.004,0.008,0.004,0.013,0.000,0.111,0.070
0.026,0.023,0.003,0.008,0.004,0.012,0.000,0.125,0.071
0.013,0.011,0.002,0.008,0.004,0.012,0.000,0.106,0.068
0.014,0.010,0.004,0.008,0.003,0.012,0.000,0.107,0.071
0.014,0.010,0.004,0.008,0.003,0.012,0.000,0.105,0.070
0.015,0.010,0.005,0.008,0.003,0.012,0.000,0.106,0.069
0.014,0.011,0.003,0.008,0.004,0.012,0.000,0.109,0.067
0.013,0.010,0.003,0.008,0.003,0.013,0.000,0.105,0.065
0.015,0.010,0.005,0.008,0.003,0.013,0.000,0.112,0.068
0.014,0.011,0.003,0.008,0.004,0.013,0.000,0.112,0.073
0.013,0.010,0.003,0.008,0.003,0.012,0.000,0.104,0.067
0.013,0.010,0.003,0.008,0.004,0.011,0.001,0.104,0.064
0.015,0.010,0.005,0.007,0.003,0.013,0.000,0.108,0.068
0.014,0.011,0.003,0.007,0.003,0.012,0.000,0.106,0.067
0.015,0.010,0.005,0.008,0.003,0.013,0.001,0.110,0.064
0.017,0.012,0.005,0.008,0.004,0.015,0.000,0.132,0.077
0.019,0.014,0.005,0.010,0.005,0.017,0.000,0.130,0.078
0.014,0.011,0.003,0.008,0.004,0.012,0.000,0.113,0.070
0.015,0.011,0.004,0.008,0.003,2.717,0.002,2.815,1.620
0.015,0.011,0.004,0.007,0.003,2.540,0.003,2.640,1.505
0.015,0.011,0.004,0.008,0.003,2.549,0.003,2.646,1.523
0.014,0.010,0.004,0.007,0.004,2.658,0.003,2.756,1.602
0.014,0.011,0.003,0.008,0.004,2.633,0.003,2.734,1.558
0.014,0.011,0.003,0.008,0.004,2.615,0.003,2.715,1.600
0.014,0.011,0.003,0.007,0.004,2.534,0.002,2.630,1.499
0.015,0.012,0.003,0.008,0.004,2.719,0.003,2.823,1.605
0.015,0.011,0.004,0.008,0.003,2.548,0.003,2.646,1.532
0.015,0.011,0.004,0.008,0.003,2.541,0.002,2.645,1.509
0.014,0.011,0.003,0.008,0.003,2.540,0.003,2.638,1.486
0.014,0.011,0.003,0.008,0.004,2.573,0.002,2.676,1.555
0.015,0.012,0.003,0.009,0.004,2.616,0.003,2.723,1.591
0.015,0.011,0.004,0.007,0.004,2.734,0.002,2.852,1.586
0.014,0.010,0.004,0.008,0.004,0.055,0.000,0.150,0.095
0.014,0.010,0.004,0.008,0.003,0.056,0.000,0.150,0.092
0.013,0.010,0.003,0.008,0.003,0.070,0.001,0.164,0.104
0.015,0.011,0.004,0.007,0.004,0.056,0.000,0.151,0.091
0.015,0.010,0.005,0.007,0.004,0.055,0.000,0.154,0.092
0.015,0.011,0.004,0.008,0.004,0.029,0.000,0.125,0.079
0.016,0.012,0.004,0.008,0.004,0.031,0.000,0.132,0.080
0.015,0.011,0.004,0.008,0.003,0.030,0.001,0.128,0.076
0.015,0.011,0.004,0.008,0.004,0.030,0.001,0.133,0.077
0.013,0.010,0.003,0.008,0.004,0.029,0.000,0.123,0.078
0.015,0.011,0.004,0.008,0.003,0.030,0.000,0.124,0.077
0.015,0.011,0.004,0.007,0.004,0.030,0.000,0.128,0.077
0.014,0.010,0.004,0.008,0.003,0.030,0.000,0.124,0.076
0.015,0.011,0.004,0.008,0.003,0.031,0.000,0.151,0.081
0.015,0.011,0.004,0.007,0.004,0.029,0.000,0.126,0.077
0.016,0.011,0.005,0.008,0.004,0.031,0.000,0.134,0.081
0.015,0.011,0.004,0.009,0.004,0.031,0.000,0.140,0.091
0.013,0.010,0.003,0.008,0.004,0.029,0.000,0.123,0.076
0.014,0.011,0.003,0.009,0.004,3.615,0.001,3.713,0.878
0.905,0.824,0.081,0.326,0.120,0.951,0.001,3.520,2.239
0.909,0.829,0.080,0.331,0.121,0.653,0.001,3.231,2.205
0.907,0.827,0.080,0.346,0.121,0.654,0.000,3.292,2.245
0.910,0.830,0.080,0.367,0.127,0.692,0.000,3.309,2.246
0.914,0.833,0.081,0.333,0.121,0.656,0.001,3.247,2.210
0.907,0.823,0.084,0.370,0.130,0.724,0.000,3.338,2.253
0.966,0.885,0.081,0.336,0.120,0.650,0.000,3.280,2.239
0.906,0.825,0.081,0.338,0.120,0.655,0.000,3.225,2.201
0.959,0.878,0.081,0.332,0.121,0.659,0.001,3.255,2.231
0.939,0.858,0.081,0.327,0.120,0.654,0.001,3.295,2.253
0.937,0.853,0.084,0.361,0.121,0.647,0.000,3.254,2.197
0.916,0.834,0.082,0.323,0.121,0.647,0.001,3.192,2.170
0.907,0.827,0.080,0.335,0.120,0.655,0.001,3.211,2.181
0.958,0.874,0.084,0.339,0.135,0.649,0.000,3.261,2.204
0.908,0.826,0.082,0.321,0.120,0.648,0.001,3.181,2.159
0.908,0.827,0.081,0.334,0.120,0.651,0.000,3.262,2.232
0.908,0.827,0.081,0.327,0.120,0.654,0.000,3.189,2.187
0.910,0.829,0.081,0.312,0.121,0.657,0.001,3.179,2.166
0.909,0.827,0.082,0.327,0.120,0.648,0.000,3.189,2.175
0.926,0.845,0.081,0.321,0.120,0.659,0.001,3.286,2.266
0.907,0.826,0.081,0.331,0.121,0.658,0.000,3.200,2.158
0.968,0.882,0.086,0.350,0.120,0.656,0.000,3.285,2.224
0.942,0.860,0.082,0.322,0.119,0.717,0.001,3.291,2.234
0.916,0.835,0.081,0.334,0.119,0.667,0.001,3.236,2.191
0.906,0.826,0.080,0.366,0.129,0.710,0.000,3.291,2.234
0.910,0.829,0.081,0.326,0.141,0.693,0.001,3.376,2.296
0.907,0.826,0.081,0.319,0.119,0.659,0.000,3.185,2.179
0.905,0.824,0.081,0.327,0.119,0.656,0.000,3.193,2.170
0.907,0.827,0.080,0.330,0.119,0.655,0.000,3.190,2.165
0.921,0.840,0.081,0.334,0.122,0.656,0.001,3.218,2.196
0.908,0.828,0.080,0.332,0.121,0.667,0.000,3.213,2.205
0.907,0.827,0.080,0.324,0.120,0.658,0.001,3.191,2.166
0.909,0.829,0.080,0.328,0.121,0.656,0.000,3.198,2.179
0.910,0.829,0.081,0.334,0.120,0.656,0.000,3.205,2.184
0.905,0.825,0.080,0.331,0.119,0.655,0.001,3.280,2.248
0.951,0.871,0.080,0.325,0.120,0.656,0.001,3.274,2.217
0.914,0.832,0.082,0.323,0.122,0.659,0.001,3.202,2.170
0.913,0.831,0.082,0.337,0.120,0.660,0.001,3.214,2.173
0.909,0.828,0.081,0.334,0.120,0.660,0.001,3.206,2.187
0.989,0.904,0.085,0.338,0.126,0.686,0.000,3.425,2.334
0.907,0.826,0.081,0.334,0.119,0.656,0.000,3.244,2.215
0.910,0.830,0.080,0.333,0.121,0.656,0.000,3.286,2.251
0.907,0.826,0.081,0.332,0.121,0.706,0.000,3.248,2.185
6.695,6.132,0.563,1.263,0.738,1.654,0.000,14.776,10.263
6.775,6.213,0.562,1.251,0.709,1.639,0.000,14.736,10.205
6.766,6.204,0.562,1.240,0.714,1.736,0.000,14.822,10.224
6.690,6.127,0.563,1.710,0.708,1.626,0.001,15.103,10.490
6.704,6.143,0.561,1.729,0.711,1.646,0.000,15.227,10.570
6.777,6.185,0.592,1.268,0.734,1.634,0.001,14.942,10.384
6.677,6.117,0.560,1.235,0.708,1.681,0.000,14.958,10.409
6.655,6.094,0.561,1.229,0.705,1.657,0.001,14.655,10.187
6.694,6.132,0.562,1.265,0.770,1.691,0.000,14.775,10.238
6.683,6.120,0.563,1.166,0.708,1.636,0.001,14.570,10.068
6.693,6.127,0.566,1.182,0.709,16.534,0.003,29.553,18.736
6.771,6.169,0.602,1.286,0.707,16.370,0.002,29.558,18.657
6.708,6.146,0.562,1.223,0.710,166.003,0.021,179.053,103.298
7.123,6.486,0.637,1.312,0.711,165.425,0.020,179.074,103.315
6.686,6.121,0.565,1.173,0.708,1.700,0.001,14.638,10.166
7.167,6.600,0.567,1.237,0.708,166.164,0.020,179.762,103.508
6.689,6.127,0.562,1.238,0.710,165.679,0.020,178.921,103.418
6.675,6.112,0.563,1.223,0.711,165.057,0.020,178.085,102.501
6.687,6.122,0.565,1.187,0.707,170.720,0.019,183.744,107.930
6.929,6.324,0.605,1.320,0.748,167.738,0.019,181.255,104.784
6.701,6.139,0.562,1.820,0.711,166.105,0.019,179.728,103.604
6.697,6.131,0.566,1.835,0.711,165.863,0.019,179.531,103.576
6.873,6.311,0.562,1.880,0.708,168.053,0.021,181.981,105.366
6.904,6.338,0.566,1.807,0.760,166.098,0.019,180.181,103.948
6.704,6.138,0.566,1.570,0.706,165.349,0.021,178.822,102.904
6.721,6.117,0.604,1.216,0.706,170.913,0.020,183.925,108.192
6.897,6.329,0.568,0.897,0.706,170.337,0.019,183.466,106.059
6.658,6.064,0.594,1.176,0.709,163.978,0.020,176.945,101.292
6.621,6.020,0.601,1.278,0.711,165.698,0.021,178.737,102.242
6.654,6.086,0.568,1.126,0.708,165.299,0.020,178.219,103.063
6.822,6.218,0.604,1.191,0.710,165.743,0.020,178.982,103.756
6.930,6.363,0.567,1.121,0.712,165.281,0.019,178.487,102.711
6.807,6.239,0.568,1.149,0.710,1.621,0.000,14.683,10.265
